IndexType,IndexUnique,Operation,ListType,numElements,ExperimentNumber,Duration,NumNodes
old,Unique,insert,increasing,1000000,5,62,3945
old,Unique,insert_write,increasing,1000000,5,193,3945
old,Unique,insert,increasing,1000000,6,54,3945
old,Unique,insert_write,increasing,1000000,6,182,3945
old,Unique,insert,increasing,1000000,7,88,3945
old,Unique,insert_write,increasing,1000000,7,170,3945
old,Unique,insert,increasing,1000000,8,55,3945
old,Unique,insert_write,increasing,1000000,8,175,3945
old,Unique,insert,increasing,1000000,9,57,3945
old,Unique,insert_write,increasing,1000000,9,188,3945
old,Unique,insert,increasing,1000000,10,55,3945
old,Unique,insert_write,increasing,1000000,10,182,3945
old,Unique,search,random,100000,0,470,450
old,Unique,search,random,100000,1,48,450
old,Unique,search,random,100000,2,34,450
old,Unique,search,random,100000,3,24,450
old,Unique,search,random,100000,4,43,450
old,Unique,search,random,100000,5,30,450
old,Unique,search,random,100000,6,26,450
old,Unique,search,random,100000,7,31,450
old,Unique,search,random,100000,8,25,450
old,Unique,search,random,100000,9,44,450
old,Unique,search,random,100000,10,29,450
old,Unique,remove,random,200000,0,137,124
old,Unique,remove,random,200000,1,77,125
old,Unique,remove,random,200000,2,114,130
old,Unique,remove,random,200000,3,75,127
old,Unique,remove,random,200000,4,89,126
old,Unique,remove,random,200000,5,78,126
old,Unique,remove,random,200000,6,87,130
old,Unique,remove,random,200000,7,69,134
old,Unique,remove,random,200000,8,71,128
old,Unique,remove,random,200000,9,92,126
old,Unique,remove,random,200000,10,69,128
old,Unique,remove,random,500000,0,235,310
old,Unique,remove,random,500000,1,327,305
old,Unique,remove,random,500000,2,227,315
old,Unique,remove,random,500000,3,331,314
old,Unique,remove,random,500000,4,273,315
old,Unique,remove,random,500000,5,228,321
old,Unique,remove,random,500000,6,238,316
old,Unique,remove,random,500000,7,225,316
old,Unique,remove,random,500000,8,318,308
old,Unique,remove,random,500000,9,225,317
old,Unique,remove,random,500000,10,222,319
old,nonUnique,insert,random,100000,0,43,456
old,nonUnique,insert_write,random,100000,0,20,456
old,nonUnique,insert,random,100000,1,37,456
old,nonUnique,insert_write,random,100000,1,20,456
old,nonUnique,insert,random,100000,2,39,456
old,nonUnique,insert_write,random,100000,2,20,456
old,nonUnique,insert,random,100000,3,48,456
old,nonUnique,insert_write,random,100000,3,22,456
old,nonUnique,insert,random,100000,4,39,456
old,nonUnique,insert_write,random,100000,4,20,456
old,nonUnique,insert,random,100000,5,37,456
old,nonUnique,insert_write,random,100000,5,21,456
old,nonUnique,insert,random,100000,6,38,456
old,nonUnique,insert_write,random,100000,6,20,456
old,nonUnique,insert,random,100000,7,39,456
old,nonUnique,insert_write,random,100000,7,20,456
old,nonUnique,insert,random,100000,8,37,456
old,nonUnique,insert_write,random,100000,8,20,456
old,nonUnique,insert,random,100000,9,38,456
old,nonUnique,insert_write,random,100000,9,20,456
old,nonUnique,insert,random,100000,10,37,456
old,nonUnique,insert_write,random,100000,10,21,456
old,nonUnique,insert,random,500000,0,313,2341
old,nonUnique,insert_write,random,500000,0,105,2341
old,nonUnique,insert,random,500000,1,306,2341
old,nonUnique,insert_write,random,500000,1,111,2341
old,nonUnique,insert,random,500000,2,308,2341
old,nonUnique,insert_write,random,500000,2,109,2341
old,nonUnique,insert,random,500000,3,286,2341
old,nonUnique,insert_write,random,500000,3,102,2341
old,nonUnique,insert,random,500000,4,282,2341
old,nonUnique,insert_write,random,500000,4,103,2341
old,nonUnique,insert,random,500000,5,301,2341
old,nonUnique,insert_write,random,500000,5,103,2341
old,nonUnique,insert,random,500000,6,312,2341
old,nonUnique,insert_write,random,500000,6,131,2341
old,nonUnique,insert,random,500000,7,322,2341
old,nonUnique,insert_write,random,500000,7,103,2341
old,nonUnique,insert,random,500000,8,330,2341
old,nonUnique,insert_write,random,500000,8,105,2341
old,nonUnique,insert,random,500000,9,241,2341
old,nonUnique,insert_write,random,500000,9,102,2341
old,nonUnique,insert,random,500000,10,230,2341
old,nonUnique,insert_write,random,500000,10,149,2341
old,nonUnique,insert,random,1000000,0,712,4661
old,nonUnique,insert_write,random,1000000,0,208,4661
old,nonUnique,insert,random,1000000,1,694,4661
old,nonUnique,insert_write,random,1000000,1,210,4661
old,nonUnique,insert,random,1000000,2,710,4661
old,nonUnique,insert_write,random,1000000,2,220,4661
old,nonUnique,insert,random,1000000,3,731,4661
old,nonUnique,insert_write,random,1000000,3,202,4661
old,nonUnique,insert,random,1000000,4,676,4661
old,nonUnique,insert_write,random,1000000,4,205,4661
old,nonUnique,insert,random,1000000,5,669,4661
old,nonUnique,insert_write,random,1000000,5,1088,4661
old,nonUnique,insert,random,1000000,6,653,4661
old,nonUnique,insert_write,random,1000000,6,203,4661
old,nonUnique,insert,random,1000000,7,726,4661
old,nonUnique,insert_write,random,1000000,7,208,4661
old,nonUnique,insert,random,1000000,8,664,4661
old,nonUnique,insert_write,random,1000000,8,203,4661
old,nonUnique,insert,random,1000000,9,650,4661
old,nonUnique,insert_write,random,1000000,9,204,4661
old,nonUnique,insert,random,1000000,10,651,4661
old,nonUnique,insert_write,random,1000000,10,205,4661
old,nonUnique,insert,increasing,100000,0,5,397
old,nonUnique,insert_write,increasing,100000,0,18,397
old,nonUnique,insert,increasing,100000,1,56,397
old,nonUnique,insert_write,increasing,100000,1,17,397
old,nonUnique,insert,increasing,100000,2,5,397
old,nonUnique,insert_write,increasing,100000,2,17,397
old,nonUnique,insert,increasing,100000,3,5,397
old,nonUnique,insert_write,increasing,100000,3,17,397
old,nonUnique,insert,increasing,100000,4,5,397
old,nonUnique,insert_write,increasing,100000,4,17,397
old,nonUnique,insert,increasing,100000,5,5,397
old,nonUnique,insert_write,increasing,100000,5,17,397
old,nonUnique,insert,increasing,100000,6,5,397
old,nonUnique,insert_write,increasing,100000,6,17,397
old,nonUnique,insert,increasing,100000,7,5,397
old,nonUnique,insert_write,increasing,100000,7,17,397
old,nonUnique,insert,increasing,100000,8,5,397
old,nonUnique,insert_write,increasing,100000,8,18,397
old,nonUnique,insert,increasing,100000,9,5,397
old,nonUnique,insert_write,increasing,100000,9,17,397
old,nonUnique,insert,increasing,100000,10,5,397
old,nonUnique,insert_write,increasing,100000,10,17,397
old,nonUnique,insert,increasing,500000,0,32,1988
old,nonUnique,insert_write,increasing,500000,0,89,1988
old,nonUnique,insert,increasing,500000,1,33,1988
old,nonUnique,insert_write,increasing,500000,1,85,1988
old,nonUnique,insert,increasing,500000,2,33,1988
old,nonUnique,insert_write,increasing,500000,2,86,1988
old,nonUnique,insert,increasing,500000,3,30,1988
